"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools"
"3584","Very useful","Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3585","Very useful","Somewhat useful","Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,"Very useful",NA,NA,NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586",NA,"Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer","Deep learning","Often",NA,NA,"Often","Most of the time",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,"Often",NA,NA,"More internal than external"
"3587",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cluster Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3588",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful",NA,NA,"Somewhat useful",NA,NA,"Somewhat useful","Statistician","Neural Nets","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Entirely internal"
"3589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3590","Somewhat useful","Very useful",NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Data Analyst","I don't plan on learning a new ML/DS method","Sometimes",NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Most of the time",NA,NA,"More internal than external"
"3591",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful","Business Analyst","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Entirely internal"
"3592",NA,"Very useful","Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,"Very useful","Very useful",NA,"Very useful","Very useful","Statistician","Deep learning","Sometimes",NA,NA,"Often","Most of the time",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Most of the time",NA,"Often","Often",NA,NA,"Often",NA,"More internal than external"
"3593",NA,NA,NA,NA,"Not Useful",NA,"Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,"Very useful",NA,NA,NA,"Somewhat useful","Data Analyst","Deep learning","Often","Sometimes",NA,NA,"Most of the time",NA,NA,NA,"Most of the time",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,"Often",NA,"Most of the time",NA,"More internal than external"
"3594",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Other","Deep learning",NA,"Sometimes",NA,NA,"Often",NA,NA,NA,"Often","Sometimes","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"More internal than external"
"3595","Very useful","Somewhat useful",NA,"Somewhat useful",NA,"Not Useful",NA,"Somewhat useful",NA,"Somewhat useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,"Not Useful","Data Scientist","Deep learning","Sometimes","Rarely",NA,"Often","Most of the time","Rarely",NA,NA,NA,"Rarely",NA,NA,"Often",NA,"Most of the time",NA,"Often",NA,NA,"Rarely","Most of the time",NA,"Approximately half internal and half external"
"3596",NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,"Cluster Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3597",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Analyst","Deep learning",NA,"Often",NA,NA,"Most of the time",NA,NA,NA,"Sometimes",NA,"Sometimes",NA,NA,NA,"Often","Often",NA,NA,NA,NA,NA,NA,"Do not know"
"3598",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Entirely internal"
"3599","Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful",NA,NA,"Somewhat useful","Data Scientist","Bayesian Methods","Often",NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,"Often",NA,NA,"Sometimes","Often",NA,"Sometimes",NA,"Sometimes","Rarely",NA,NA,"More internal than external"
"3600",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3601",NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Data Analyst","I don't plan on learning a new ML/DS method",NA,NA,NA,"Often",NA,NA,NA,"Often","Sometimes",NA,NA,NA,"Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,"More internal than external"
"3602","Very useful",NA,"Very useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603",NA,NA,"Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Other","Most of the time",NA,NA,NA,"Sometimes",NA,NA,"Sometimes","Sometimes",NA,NA,"Sometimes","Sometimes",NA,"Most of the time","Sometimes","Sometimes",NA,"Sometimes","Sometimes",NA,NA,"More external than internal"
"3604",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
"3605","Very useful","Very useful",NA,NA,NA,"Somewhat useful","Somewhat useful","Somewhat useful",NA,NA,"Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Somewhat useful","Data Scientist","Rule Induction",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,"Entirely internal"
"3606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3607",NA,"Somewhat useful",NA,"Very useful","Somewhat useful","Somewhat useful","Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Data Analyst","Factor Analysis",NA,NA,NA,"Sometimes","Often","Rarely",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Sometimes","Sometimes",NA,NA,NA,"Most of the time","More internal than external"
"3608",NA,"Very useful",NA,NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Very useful",NA,NA,NA,"Very useful","Machine Learning Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Sometimes","Often",NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,"Entirely internal"
"3609",NA,NA,"Somewhat useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Sometimes",NA,"More internal than external"
"3610",NA,"Somewhat useful",NA,NA,"Very useful",NA,"Very useful",NA,NA,"Very useful","Somewhat useful","Somewhat useful",NA,"Somewhat useful",NA,"Very useful",NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3611",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Business Analyst","Neural Nets",NA,"Often",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Entirely internal"
"3612","Very useful","Very useful",NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,NA,"Somewhat useful",NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Ensemble Methods (e.g. boosting, bagging)","Sometimes",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,"Most of the time",NA,NA,"More internal than external"
"3613",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful","Very useful",NA,NA,"Very useful",NA,"Anomaly Detection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3614","Somewhat useful","Very useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,"Data Scientist","Deep learning",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Entirely internal"
"3615",NA,"Very useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning","Sometimes","Often","Sometimes",NA,"Most of the time",NA,NA,NA,"Most of the time","Sometimes","Sometimes",NA,"Often",NA,NA,NA,"Most of the time","Sometimes",NA,"Often","Most of the time",NA,"More internal than external"
"3616",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,"Regression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3617",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,"Statistician","I don't plan on learning a new ML/DS method","Sometimes",NA,"Rarely",NA,"Often",NA,NA,NA,NA,"Sometimes",NA,NA,"Sometimes",NA,"Often",NA,"Rarely",NA,NA,"Sometimes","Rarely",NA,"More internal than external"
"3618",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Business Analyst","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time","Most of the time",NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Entirely internal"
"3619",NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful",NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,"Sometimes","Sometimes",NA,NA,"Most of the time",NA,"Sometimes",NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Most of the time",NA,NA,"Entirely internal"
"3620",NA,NA,"Somewhat useful",NA,"Very useful",NA,"Very useful",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,"Scientist/Researcher","Social Network Analysis",NA,"Most of the time","Often",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
"3621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,"Software Developer/Software Engineer","Neural Nets","Often",NA,NA,NA,NA,NA,NA,"Often","Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"3622","Very useful","Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Not Useful",NA,NA,NA,NA,"Somewhat useful","Machine Learning Engineer","Social Network Analysis",NA,"Sometimes","Often",NA,"Most of the time",NA,NA,NA,"Most of the time",NA,NA,NA,NA,"Sometimes",NA,NA,"Sometimes",NA,NA,NA,"Often","Most of the time","More internal than external"
"3623",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Scientist/Researcher","Anomaly Detection",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"3624",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Other","Decision Trees","Often",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rarely","Rarely",NA,"Sometimes",NA,"Often",NA,"Approximately half internal and half external"
"3625",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3627",NA,NA,NA,NA,NA,"Very useful","Very useful","Somewhat useful",NA,NA,"Very useful","Very useful",NA,"Very useful","Somewhat useful",NA,"Very useful",NA,"Data Analyst","Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3630","Very useful",NA,"Somewhat useful","Somewhat useful","Not Useful",NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Very useful","Very useful",NA,NA,NA,"Data Scientist","Deep learning",NA,"Sometimes",NA,NA,"Most of the time","Sometimes",NA,"Sometimes","Rarely",NA,NA,NA,NA,"Often",NA,"Sometimes",NA,NA,NA,"Often","Often",NA,"More internal than external"
"3631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3632",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Very useful","Very useful","Very useful","Very useful",NA,NA,NA,"Very useful",NA,"Decision Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3633",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,"Somewhat useful","Other","Deep learning","Sometimes","Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes","Sometimes",NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Sometimes","Sometimes","Sometimes",NA,"Entirely internal"
"3634",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,"Not Useful",NA,NA,NA,"Programmer","Text Mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3635",NA,"Very useful","Somewhat useful",NA,NA,"Somewhat useful","Very useful",NA,"Very useful",NA,"Somewhat useful","Very useful","Not Useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Statistician","Genetic & Evolutionary Algorithms",NA,"Sometimes","Sometimes",NA,"Most of the time",NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Most of the time",NA,NA,NA,"Most of the time",NA,"Approximately half internal and half external"
"3636","Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Somewhat useful","Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3637",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Other","Genetic & Evolutionary Algorithms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Entirely internal"
"3638","Somewhat useful","Very useful","Very useful","Very useful","Very useful","Very useful",NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Statistician","Text Mining","Sometimes",NA,"Often",NA,"Most of the time","Often",NA,NA,"Often","Most of the time","Most of the time",NA,NA,"Often",NA,"Most of the time",NA,NA,NA,"Sometimes","Most of the time",NA,"Entirely internal"
"3639",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3640",NA,"Very useful","Very useful",NA,NA,"Somewhat useful","Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Very useful","Very useful",NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3642",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3643",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3644",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3645",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3647",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3648",NA,"Very useful","Very useful",NA,"Very useful","Very useful","Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful","Other","Neural Nets",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
"3649",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,"Computer Scientist","Anomaly Detection",NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3650",NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,"Very useful","Somewhat useful","Very useful","Somewhat useful",NA,NA,NA,"Business Analyst","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"More internal than external"
"3651",NA,"Very useful","Somewhat useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful","Very useful","Very useful",NA,"Somewhat useful","Very useful",NA,"Somewhat useful","Somewhat useful","Other","Deep learning",NA,NA,NA,NA,"Often","Often",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,"Often",NA,NA,NA,"Often",NA,NA,"More internal than external"
"3652","Very useful","Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Researcher","Anomaly Detection",NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Entirely internal"
"3653",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Data Analyst","Genetic & Evolutionary Algorithms",NA,NA,NA,NA,"Often","Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"3654","Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3655",NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful","DBA/Database Engineer","Deep learning","Sometimes","Often",NA,"Sometimes",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately half internal and half external"
"3656",NA,"Somewhat useful","Very useful",NA,NA,NA,"Somewhat useful","Very useful",NA,"Very useful",NA,"Somewhat useful","Somewhat useful","Very useful","Very useful",NA,NA,"Somewhat useful","Other","Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3657","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Software Developer/Software Engineer","Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3658","Not Useful","Very useful",NA,NA,"Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Statistician","Neural Nets","Most of the time","Sometimes",NA,"Often","Most of the time","Sometimes",NA,NA,"Most of the time",NA,NA,NA,"Sometimes","Often","Most of the time",NA,NA,"Most of the time",NA,"Most of the time","Sometimes",NA,"More internal than external"
"3659",NA,"Somewhat useful","Very useful","Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful","Business Analyst","Deep learning",NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,"Often","Sometimes",NA,"More internal than external"
"3660",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful","Very useful",NA,"Very useful",NA,NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,"Rarely","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,"Sometimes",NA,NA,"Do not know"
